================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=football., v=2, w=0.30979852400305047, v*w=0.6195970480061009
f=football, v=2, w=0.26000132213990806, v*w=0.5200026442798161
f=People, v=1, w=0.4551736794312101, v*w=0.4551736794312101
f=Peopleplaying, v=2, w=0.10410957079937457, v*w=0.20821914159874913
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=playingfootball, v=2, w=0.07475258201557276, v*w=0.14950516403114553
f=member, v=1, w=0.11223078950233817, v*w=0.11223078950233817
f=memberof, v=1, w=0.07141283047878186, v*w=0.07141283047878186
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=player, v=1, w=0.06089951961806593, v*w=0.06089951961806593
f=Afootball, v=1, w=0.00023137720971083903, v*w=0.00023137720971083903
f=tackles, v=1, w=0, v*w=0
f=playertackles, v=1, w=0, v*w=0
f=tacklesan, v=1, w=0, v*w=0
f=anmember, v=1, w=0, v*w=0
f=opposing, v=1, w=-0.00483750375754767, v*w=-0.00483750375754767
f=footballplayer, v=1, w=-0.009370557350735713, v*w=-0.009370557350735713
f=an, v=1, w=-0.02926836810441059, v*w=-0.02926836810441059
f=of, v=1, w=-0.03501471429522005, v*w=-0.03501471429522005
f=ofthe, v=1, w=-0.04849898027757773, v*w=-0.04849898027757773
f=theopposing, v=1, w=-0.06577585196523912, v*w=-0.06577585196523912
f=playing, v=1, w=-0.07130834249945808, v*w=-0.07130834249945808
f=opposingteam, v=1, w=-0.07684080975302757, v*w=-0.07684080975302757
f=team, v=1, w=-0.0785966681885995, v*w=-0.0785966681885995
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=team., v=1, w=-0.5069844343432829, v*w=-0.5069844343432829
================================================================================
P: An older gentleman speaking at a podium .
H: A man giving a speech
label=0, predicted=1, wrong
f=Aman, v=2, w=0.3015943159097625, v*w=0.603188631819525
f=mangiving, v=2, w=0.2556105786015575, v*w=0.511221157203115
f=aspeech, v=2, w=0.1736499894352668, v*w=0.3472999788705336
f=speaking, v=1, w=0.2156753156728281, v*w=0.2156753156728281
f=at, v=1, w=0.20611288115700632, v*w=0.20611288115700632
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=An, v=1, w=0.046622251142134835, v*w=0.046622251142134835
f=gentleman, v=1, w=0.022549245211695906, v*w=0.022549245211695906
f=podium, v=1, w=0.004927627160760159, v*w=0.004927627160760159
f=podium., v=1, w=0.004927627160760159, v*w=0.004927627160760159
f=gentlemanspeaking, v=1, w=0, v*w=0
f=speakingat, v=1, w=0, v*w=0
f=speech, v=1, w=-0.02204392226232106, v*w=-0.02204392226232106
f=a, v=2, w=-0.011701712985154124, v*w=-0.02340342597030825
f=giving, v=1, w=-0.05446662805218645, v*w=-0.05446662805218645
f=older, v=1, w=-0.0724952318478891, v*w=-0.0724952318478891
f=apodium, v=1, w=-0.08904946629643554, v*w=-0.08904946629643554
f=oldergentleman, v=1, w=-0.0973482706947781, v*w=-0.0973482706947781
f=man, v=1, w=-0.12614135358548834, v*w=-0.12614135358548834
f=givinga, v=2, w=-0.07805609131324287, v*w=-0.15611218262648574
f=Anolder, v=1, w=-0.16716273614541668, v*w=-0.16716273614541668
f=ata, v=1, w=-0.28606424431022354, v*w=-0.28606424431022354
================================================================================
P: A topless man with tattoos , black pants , and black boots is standing on a platform in front of a mirror .
H: a man is standing
label=1, predicted=1, correct
f=isstanding, v=3, w=0.3998327846858878, v*w=1.1994983540576634
f=aman, v=2, w=0.3694909235206067, v*w=0.7389818470412134
f=black, v=2, w=0.17528668409609616, v*w=0.3505733681921923
f=manwith, v=1, w=0.24155670188870854, v*w=0.24155670188870854
f=platform, v=1, w=0.21347219491335542, v*w=0.21347219491335542
f=boots, v=1, w=0.20321797610022413, v*w=0.20321797610022413
f=pants,, v=1, w=0.1796259074007587, v*w=0.1796259074007587
f=,and, v=1, w=0.1609942246474133, v*w=0.1609942246474133
f=andblack, v=1, w=0.14840330016093514, v*w=0.14840330016093514
f=infront, v=1, w=0.1351727252661133, v*w=0.1351727252661133
f=frontof, v=1, w=0.12182671192286125, v*w=0.12182671192286125
f=blackboots, v=1, w=0.1150564447519305, v*w=0.1150564447519305
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
f=pants, v=1, w=0.08371371970051189, v*w=0.08371371970051189
f=mirror., v=1, w=0.08179132326297382, v*w=0.08179132326297382
f=,black, v=1, w=0.06924383736711362, v*w=0.06924383736711362
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=mirror, v=1, w=0.055479348077225696, v*w=0.055479348077225696
f=amirror, v=1, w=0.053223294468486226, v*w=0.053223294468486226
f=on, v=1, w=0.03874305830186252, v*w=0.03874305830186252
f=ofa, v=1, w=0.030120326391911135, v*w=0.030120326391911135
f=bootsis, v=1, w=0.012668591892515523, v*w=0.012668591892515523
f=withtattoos, v=1, w=0.006877491535239555, v*w=0.006877491535239555
f=tattoos,, v=1, w=0, v*w=0
f=with, v=1, w=-0.006383332049242026, v*w=-0.006383332049242026
f=aplatform, v=1, w=-0.007153605693723149, v*w=-0.007153605693723149
f=ona, v=1, w=-0.01745058575214073, v*w=-0.01745058575214073
f=platformin, v=1, w=-0.018881696550182344, v*w=-0.018881696550182344
f=of, v=1, w=-0.03501471429522005, v*w=-0.03501471429522005
f=a, v=3, w=-0.011701712985154124, v*w=-0.03510513895546237
f=manis, v=2, w=-0.01901372009237614, v*w=-0.03802744018475228
f=standing, v=2, w=-0.020666378043503755, v*w=-0.04133275608700751
f=Atopless, v=1, w=-0.04496877185402187, v*w=-0.04496877185402187
f=toplessman, v=1, w=-0.04496877185402187, v*w=-0.04496877185402187
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=,, v=2, w=-0.030906925089610418, v*w=-0.061813850179220836
f=blackpants, v=1, w=-0.07997339263796986, v*w=-0.07997339263796986
f=topless, v=1, w=-0.10673515940817349, v*w=-0.10673515940817349
f=and, v=1, w=-0.11006926248016317, v*w=-0.11006926248016317
f=front, v=1, w=-0.15314372579521288, v*w=-0.15314372579521288
f=is, v=2, w=-0.08022818723333007, v*w=-0.16045637446666014
f=tattoos, v=1, w=-0.16212204609810796, v*w=-0.16212204609810796
f=standingon, v=1, w=-0.1637291487093401, v*w=-0.1637291487093401
f=man, v=2, w=-0.12614135358548834, v*w=-0.25228270717097667
================================================================================
P: The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus .
H: A person sleeping on a cardboard box below a picture of religious icons .
label=1, predicted=0, wrong
f=picture, v=2, w=0.5551116169227446, v*w=1.1102232338454892
f=Aperson, v=2, w=0.44708812600032793, v*w=0.8941762520006559
f=box, v=2, w=0.2509815591754693, v*w=0.5019631183509387
f=acardboard, v=3, w=0.07198172729522247, v*w=0.21594518188566741
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=cardboardbox, v=3, w=0.06789100270600672, v*w=0.20367300811802014
f=baby, v=1, w=0.11589994476532557, v*w=0.11589994476532557
f=undera, v=1, w=0.0896928139369137, v*w=0.0896928139369137
f=on, v=2, w=0.03874305830186252, v*w=0.07748611660372504
f=blue, v=1, w=0.06962300637159316, v*w=0.06962300637159316
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=cardboard, v=2, w=0.03197482400349454, v*w=0.06394964800698907
f=andbaby, v=1, w=0.026142780060360513, v*w=0.026142780060360513
f=Jesus, v=1, w=0.024254724667743064, v*w=0.024254724667743064
